Astrocytes,Microglia,Neuron,Oligodendrocytes,Endothelia
CCN1,CLEC12A,CHRNB4,DUSP9,DRAM2
ZNF267,ZNF705A,CHSY3,DYNC2LI1,DTX3L
DAAM2,CLEC4A,CIB2,DYNLL2,DUSP22
DAG1,CLEC4D,CIDEA,E2F8,DUSP23
DAGLA,CLEC4E,CILP,ECT2,DUSP6
DBI,CLEC6A,CIRBP,EDA2R,DYSF
DBX2,CLEC5A,CIT,EFCAB1,E2F7
DCLK1,CLEC7A,CITED2,EFEMP1,EBF1
DCLK2,CLIC1,CKMT1B,EFHD1,ECE1
DCTN1,CLN3,CLCN1,EFNB3,ECM1
DDB2,CLN5,TMEM114,EFR3B,ECM2
DDHD1,CLN8,CLDN3,EFS,ECSCR
DDIT4L,CLTA,CLK4,EHD3,EDN3
DDO,CMKLR1,CLRN1,EIF1B,EEF1A1
DDR2,CMTM3,CLSTN1,ELFN2,EFNA1
DDT,CMTM6,CLSTN2,ELOVL4,EGFL7
DECR1,CMTM7,CLSTN3,ELOVL6,EGFL8
DENND4C,CNDP2,CLVS1,EMB,EGFLAM
DGKB,CNPY3,CLVS2,EME1,EHD2
DHCR7,COL27A1,CMSS1,EMID1,EIF3E
DHRS1,CERT1,CNFN,COL26A1,EIF3H
DHRS4,COL6A3,CNGA3,EMILIN3,EIF3M
DHTKD1,COLGALT1,CNIH2,EML1,ELF1
DHX32,COMMD5,CNIH3,ENDOD1,ELK3
DIO2,COMP,CNKSR2,ENPP2,ELK4
DLG5,COMT,CNNM1,ENPP6,ADGRL4
DLGAP1,COMTD1,CNR1,EPB41L2,EMCN
DLK1,CORO1A,CNRIP1,EPB41L1,EMP1
DMD,CORO2A,CNST,EPB41,ENDOU
DMP1,COTL1,CNTN3,EPB41L3,ENG
DNAI1,COX6A2,CNTN5,EPCAM,ENOX2
DNAJC25,CPN1,CNTNAP1,EPN2,ENPEP
DNALI1,CRADD,CNTNAP2,SELENOI,ENPP3
DOCK1,CREG1,CNTNAP3,ERMN,EPAS1
DPF3,CRIP1,CNTNAP4,ETNK2,EPHB4
DPY19L3,CRY1,CNTNAP5,ETV1,EPOR
DRP2,CRYBA4,COCH,EXO1,EPS8L2
DTNA,CRYBB1,COL19A1,EXOG,ERG
DYNC2H1,CRYL1,COL23A1,EXTL1,ERICH1
DYNLRB2,CSF1,COL24A1,EXTL2,ESAM
DZIP1L,CSF1R,COL25A1,FA2H,ESM1
ECH1,CSF2,COL6A2,FAH,ESYT1
ECHDC1,CSF2RB,CORT,FAM114A1,ESYT2
ECHDC2,CSF3R,COX7A1,FAM122A,KIAA1217
ECHDC3,CSK,CPEB1,FAM149A,ETS1
ECI2,CST3,CPEB3,FAM163A,ETS2
EDIL3,CST7,CPLX1,FAM169A,EXOC3L1
EDNRB,CSTB,CPLX2,FAM178B,EXOC5
EEA1,CTBS,CPNE4,FAM180A,EXOC6
EEPD1,CTDNEP1,CPNE5,INSYN2B,F2R
EFNA4,CTLA4,CPNE6,TAFA4,F2RL1
EGF,CTNS,CPNE7,CALHM5,F2RL3
EGFL6,CTSA,CPNE9,FAM3C,F5
EGFR,CTSB,CRABP1,TLCD3A,UBALD2
EHBP1,CTSC,CRABP2,CCNQ,RFLNA
EHHADH,CTSD,CRH,BRINP3,RFLNB
EIF4G3,CTSE,CRHBP,MINDY1,FAM111A
ELMO2,CTSF,CRHR2,TMEM255A,TCAF2
ELMO3,CTSH,CRMP1,TMEM255B,FAM124B
ELOVL2,CTSV,CSNK1E,MIGA1,NIBAN1
ELOVL5,CTSS,CSRNP2,FAM89A,FAM162B
EMP2,CTSZ,CSTF2T,FANCA,EVA1B
ENKUR,CX3CR1,CTCF,FANCD2,GASK1B
ENTPD2,CXCL10,CTIF,FAR1,PIEZO2
EPB41L5,CXCL16,CTXN2,FBLN7,FAM43A
EPHB3,CXCL3,CX3CL1,FBN1,NXPE2
EPHX2,CXCR3,CXCL12,FBXO17,RIPOR1
ERBB2,CXCR5,CXXC4,FBXO36,FAM71A
ERBIN,CYB5R1,CYB561,FBXO7,FAM71F2
ETAA1,CYBA,CYGB,FCHSD2,EEF2KMT
ETFA,CYB561A3,CYP2S1,FEM1B,FAP
ETFDH,CYBB,CYP46A1,FEZ1,FAR2
EVC,CYFIP1,CYP4B1,FGF22,FBLN5
EVC2,CYP4F2,CYP4X1,FHL2,FBXL12
EVI5,CYP4V2,NREP,FIGNL1,FBXL8
EXD1,CYSLTR1,PLPPR4,FKBP1A,FCHO2
EZR,CYTH4,DAB2IP,FMNL2,FEM1C
F3,CYTIP,DACH1,FNTA,FERMT2
FABP5,PHF11,DACT1,FNTB,FGD5
FABP7,LDLRAD4,DAPK1,FOXM1,FGFBP1
FADS2,M1AP,ACKR1,FRMD4A,FGFR4
FAM117A,C19orf53,DAXX,FRMD5,FILIP1
FAM120C,PRAG1,DBN1,FRMD7,FILIP1L
FAM135A,DAGLB,DBNDD1,FRYL,FKBP10
FAM13C,DCXR,DCAF7,FSD1,FKBP7
FAM168A,INTS6L,DCK,FYN,FKBPL
FAM171B,DDX31,DCLK3,G0S2,FLI1
FAM181A,DENND1C,DCP1A,GAB1,FLNA
FAM181B,DENND4B,DCX,GABRA3,FLNB
FAM184A,DEPDC7,DEPTOR,GALE,FLRT2
MCRIP2,DGKD,DGKE,GALNT10,FLT1
GASK1A,DGKZ,DGKG,GALNT13,FLT4
FAM20A,DHDH,DGKK,GALNT3,FN1
PRXL2A,DHRS3,DHX57,GALNT6,FOXC1
NXPE4,DHX34,DIABLO,GALNT16,FOXF1
